Allele,reference
B07_02,1
B07_03,1
B07_04,0
B07_05,1
B07_06,0
B07_07,0
B07_08,0
B07_09,0
B07_10,0
B07_11,0
B07_12,0
B07_13,0
B07_14,0
B07_15,0
B07_16,0
B07_17,0
B07_18,0
B07_19,0
B07_20,0
B07_21,0
B07_22,0
B07_23,0
B07_24,0
B07_25,0
B07_26,0
B07_27,0
B07_28,0
B07_29,0
B07_30,0
B07_31,0
B07_32,0
B07_33,0
B07_34,0
B07_35,0
B07_36,0
B07_37,0
B07_38,0
B07_39,0
B07_40,0
B07_41,0
B07_42,0
B07_43,0
B08_01,1
B08_02,1
B08_03,0
B08_04,0
B08_05,0
B08_07,0
B08_09,0
B08_10,0
B08_11,0
B08_12,0
B08_13,0
B08_14,0
B08_15,0
B08_16,0
B08_17,0
B08_18,0
B08_20,0
B08_21,0
B08_22,0
B08_23,0
B08_24,0
B08_25,0
B13_01,0
B13_02,0
B13_03,0
B13_04,0
B13_06,0
B13_08,0
B13_09,0
B13_10,0
B13_11,0
B13_12,0
B13_13,0
B14_01,0
B14_02,1
B14_03,0
B14_04,0
B14_05,0
B14_06,0
B15_01,1
B15_02,1
B15_03,1
B15_04,0
B15_05,0
B15_06,0
B15_07,0
B15_08,1
B15_09,1
B15_10,1
B15_11,0
B15_12,1
B15_13,1
B15_14,0
B15_15,0
B15_16,1
B15_17,1
B15_18,1
B15_19,0
B15_20,0
B15_21,0
B15_23,0
B15_24,0
B15_25,0
B15_27,0
B15_28,0
B15_29,0
B15_30,0
B15_31,0
B15_32,0
B15_33,0
B15_34,0
B15_35,0
B15_36,0
B15_37,0
B15_38,0
B15_39,0
B15_40,0
B15_42,0
B15_43,0
B15_44,0
B15_45,0
B15_46,0
B15_47,0
B15_48,0
B15_49,0
B15_50,0
B15_51,0
B15_52,0
B15_53,0
B15_54,0
B15_55,0
B15_56,0
B15_57,0
B15_58,0
B15_60,0
B15_61,0
B15_62,0
B15_63,0
B15_64,0
B15_65,0
B15_66,0
B15_67,0
B15_68,0
B15_69,0
B15_70,0
B15_71,0
B15_72,0
B15_73,0
B15_74,0
B15_75,0
B15_76,0
B15_77,0
B15_78,0
B15_80,0
B15_81,0
B15_82,0
B15_83,0
B15_84,0
B15_85,0
B15_86,0
B15_87,0
B15_88,0
B15_89,0
B15_90,0
B15_91,0
B15_92,0
B15_93,0
B15_95,0
B15_96,0
B15_97,0
B15_98,0
B15_99,0
B18_01,1
B18_02,0
B18_03,0
B18_04,0
B18_05,0
B18_06,0
B18_07,0
B18_08,0
B18_09,0
B18_10,0
B18_11,0
B18_12,0
B18_13,0
B18_14,0
B18_15,0
B18_18,0
B18_19,0
B18_20,0
B27_01,0
B27_02,1
B27_03,1
B27_04,1
B27_05,1
B27_06,1
B27_07,1
B27_08,0
B27_09,1
B27_10,0
B27_11,0
B27_12,0
B27_13,0
B27_14,0
B27_15,0
B27_16,0
B27_17,0
B27_18,0
B27_19,0
B27_20,0
B27_21,0
B27_23,0
B27_24,0
B27_25,0
B27_26,0
B27_27,0
B27_28,0
B27_29,0
B27_30,0
B35_01,1
B35_02,0
B35_03,1
B35_04,0
B35_05,0
B35_06,0
B35_07,0
B35_08,0
B35_09,0
B35_10,0
B35_11,0
B35_12,0
B35_13,0
B35_14,0
B35_15,0
B35_16,0
B35_17,0
B35_18,0
B35_19,0
B35_20,0
B35_21,0
B35_22,0
B35_23,0
B35_24,0
B35_25,0
B35_26,0
B35_27,0
B35_28,0
B35_29,0
B35_30,0
B35_31,0
B35_32,0
B35_33,0
B35_34,0
B35_35,0
B35_36,0
B35_37,0
B35_38,0
B35_39,0
B35_41,0
B35_42,0
B35_43,0
B35_44,0
B35_45,0
B35_46,0
B35_47,0
B35_48,0
B35_49,0
B35_50,0
B35_51,0
B35_52,0
B35_54,0
B35_55,0
B35_56,0
B35_57,0
B35_58,0
B35_60,0
B35_61,0
B37_01,1
B37_02,0
B37_04,0
B37_05,0
B37_06,0
B37_07,0
B37_08,0
B37_09,0
B38_01,1
B38_02,0
B38_03,0
B38_04,0
B38_05,0
B38_06,0
B38_07,0
B38_08,0
B38_09,0
B38_10,0
B38_11,0
B39_01,1
B39_02,1
B39_03,0
B39_04,0
B39_05,0
B39_06,0
B39_07,0
B39_08,0
B39_09,1
B39_10,0
B39_11,0
B39_12,0
B39_13,0
B39_14,0
B39_15,0
B39_16,0
B39_17,0
B39_18,0
B39_19,0
B39_20,0
B39_22,0
B39_23,0
B39_24,0
B39_26,0
B39_27,0
B39_28,0
B39_29,0
B39_30,0
B39_31,0
B39_32,0
B39_33,0
B39_34,0
B40_01,1
B40_02,1
B40_03,0
B40_04,0
B40_05,0
B40_06,1
B40_07,0
B40_08,0
B40_09,0
B40_10,0
B40_11,0
B40_12,0
B40_13,0
B40_14,0
B40_15,0
B40_16,0
B40_18,0
B40_19,0
B40_20,0
B40_21,0
B40_23,0
B40_24,0
B40_25,0
B40_26,0
B40_27,0
B40_28,0
B40_29,0
B40_30,0
B40_33,0
B40_34,0
B40_35,0
B40_36,0
B40_37,0
B40_38,0
B40_39,0
B40_40,0
B40_42,0
B40_43,0
B40_44,0
B40_45,0
B40_46,0
B40_47,0
B40_48,0
B40_49,0
B40_50,0
B40_51,0
B40_52,0
B40_53,0
B40_54,0
B40_55,0
B40_56,0
B40_57,0
B40_58,0
B40_59,0
B40_60,0
B40_61,0
B41_01,0
B41_02,0
B41_03,0
B41_04,0
B41_05,0
B41_06,0
B41_07,0
B42_01,1
B42_02,0
B42_04,0
B42_05,0
B42_06,0
B44_02,1
B44_03,1
B44_04,0
B44_05,0
B44_06,0
B44_07,0
B44_08,0
B44_09,0
B44_10,0
B44_11,0
B44_12,0
B44_13,0
B44_14,0
B44_15,0
B44_16,0
B44_17,0
B44_18,0
B44_20,0
B44_21,0
B44_22,0
B44_24,0
B44_25,0
B44_26,0
B44_27,0
B44_28,0
B44_29,0
B44_30,0
B44_31,0
B44_32,0
B44_33,0
B44_34,0
B44_35,0
B44_36,0
B44_37,0
B44_38,0
B44_39,0
B44_40,0
B44_41,0
B44_42,0
B45_01,1
B45_02,0
B45_03,0
B45_04,0
B45_05,0
B45_06,0
B45_07,0
B46_01,1
B46_02,0
B46_03,0
B46_04,0
B46_05,0
B47_01,0
B47_02,0
B47_03,0
B47_04,0
B47_05,0
B48_01,1
B48_02,0
B48_03,0
B48_04,0
B48_05,0
B48_06,0
B48_07,0
B48_08,0
B48_09,0
B48_10,0
B48_11,0
B48_12,0
B48_13,0
B49_01,0
B49_02,0
B49_03,0
B49_04,0
B50_01,0
B50_02,0
B50_04,0
B51_01,1
B51_02,1
B51_03,1
B51_04,0
B51_05,0
B51_06,0
B51_07,0
B51_08,0
B51_09,0
B51_10,0
B51_12,0
B51_13,0
B51_14,0
B51_15,0
B51_16,0
B51_17,0
B51_18,0
B51_19,0
B51_20,0
B51_21,0
B51_22,0
B51_23,0
B51_24,0
B51_26,0
B51_28,0
B51_29,0
B51_30,0
B51_31,0
B51_32,0
B51_33,0
B51_34,0
B51_35,0
B51_36,0
B51_37,0
B51_38,0
B52_01,1
B52_02,0
B52_03,0
B52_04,0
B52_05,0
B52_06,0
B52_07,0
B52_08,0
B53_01,1
B53_02,0
B53_03,0
B53_04,0
B53_05,0
B53_06,0
B53_07,0
B53_08,0
B53_09,0
B53_10,0
B54_01,1
B54_02,0
B54_03,0
B54_04,0
B54_06,0
B54_07,0
B55_01,1
B55_02,1
B55_03,0
B55_04,0
B55_05,0
B55_07,0
B55_08,0
B55_09,0
B55_10,0
B55_11,0
B55_12,0
B55_13,0
B55_14,0
B55_15,0
B55_16,0
B55_17,0
B55_18,0
B55_19,0
B56_01,1
B56_02,0
B56_03,0
B56_04,0
B56_05,0
B56_06,0
B56_07,0
B56_08,0
B56_09,0
B56_10,0
B56_11,0
B56_12,0
B56_13,0
B56_14,0
B56_15,0
B56_16,0
B57_01,1
B57_02,1
B57_03,0
B57_04,0
B57_05,0
B57_06,0
B57_07,0
B57_08,0
B57_09,0
B58_01,1
B58_02,1
B58_04,0
B58_05,0
B58_06,0
B58_07,0
B58_08,0
B58_09,0
B58_11,0
B59_01,0
B67_01,1
B67_02,0
B73_01,1
B78_01,1
B78_02,0
B78_03,0
B78_04,0
B78_05,0
B81_01,0
B81_02,0
B82_01,0
B82_02,0
B83_01,0
