A-in,B-in,A-out,B-out
6.983614193,6.580970015,6.339832065,10.39397094
6.506715904,6.645674669,6.218082376,10.10075828
7.241110206,6.691127993,8.31795151,11.91325008
7.34342157,8.340657157,6.769356021,11.44565685
4.00535002,7.970876223,7.768870329,11.4706933
7.44260528,8.387814422,7.747278142,11.79618103
6.713969524,9.862915723,8.239713394,12.23993149
7.53463843,8.836514588,9.139865454,12.38719965
6.116346104,8.400316156,8.110789205,11.77404679
7.303173027,8.349761058,9.030354545,12.37622161
6.458717704,9.526117831,7.804641285,11.98355505
5.192626324,8.138584031,7.927407619,11.93203403
,7.693779087,7.789860672,10.74411335
,10.05604028,8.753548563,12.61293847
,6.157528406,9.072295923,12.35179348
,7.161513386,8.891720286,12.2117556
,7.018014662,9.694960415,12.42796459
,6.868449886,7.365049684,12.09354782
,8.716331908,6.446974655,12.64066189
,7.452231113,8.188828347,11.72908589
,10.02074709,6.210194377,11.63604362
,5.600879998,6.109183458,11.34329508
,8.77519493,8.281533978,12.03625733
,7.761112285,9.169239282,12.18924493
,7.617393916,8.601777046,12.53462037
,5.606202796,8.679782802,11.23653973
,8.638049489,9.399309166,13.44187653
,8.097647787,7.408900689,13.43491033
,7.376244664,7.26136264,13.40996069
,7.758083674,8.680150411,11.56043653
,11.76808426,6.946587254,11.99718446
,11.34855532,6.939205096,11.5699738
,12.15471963,8.900102688,11.51023811
,11.46129968,9.562677504,11.53050792
,11.80739229,8.398414691,11.21334261
,11.49700215,8.164410181,12.26013732
,11.43527035,8.901776692,10.86053869
,11.83397859,7.820706833,10.76965189
,11.38099148,6.935525842,10.68066351
,11.87302611,8.104919373,10.97122523
,8.744278475,7.310823073,11.08442772
,10.95769609,7.478590889,11.61585758
,10.44091142,10.27622329,11.2196362
,11.45515589,7.48273244,13.04867501
,10.51184233,3.976787932,13.01125227
,10.40921928,3.479213571,12.89613466
,6.799510949,6.039820858,11.84331822
,7.283905008,9.155317575,11.76238741
,10.63034158,8.247724933,11.58679242
,11.75566828,9.977200603,11.66465945
,11.38792408,8.88457449,11.5586124
,11.95901046,8.817503298,11.42695263
,10.29682604,8.66287273,11.86747703
,8.387576316,8.776244417,10.48831026
,7.770610635,7.468236393,10.7610713
,6.872650094,7.762193867,10.75722296
,9.854964026,8.241381814,12.44859462
,10.82104486,8.53299623,11.87723222
,10.18004156,7.74510897,12.6246274
,9.432221333,8.910977167,10.44696009
,11.37718219,7.600655434,13.35212376
,8.518796774,7.387016663,12.40547417
,6.590739399,9.065183546,12.31918982
,7.903674503,7.685744133,12.09388989
,8.92632947,7.570196983,10.6296219
,9.569775023,7.47518744,10.87335724
,12.42050175,8.23612995,10.6260533
,10.07258265,7.314841348,10.85241632
,11.02037165,6.105155407,10.91986117
,11.52323193,8.55019665,11.07483667
,10.70945076,6.926371735,10.33896155
,8.515510313,6.739643627,9.932487578
,10.25059391,8.545850532,9.557128317
,8.743235911,9.361004693,11.19879716
,7.214847755,9.489439278,11.70332532
,10.54396802,8.552562307,11.09924731
,10.11928729,9.216206688,9.511871992
,10.99317276,9.529466679,12.53527433
,10.32972727,8.90477849,12.46521431
,11.51557443,9.226036625,12.43643136
,6.979381216,9.453865162,11.43720519
,7.784127108,9.244444315,10.81922482
,6.869891657,7.941495647,10.2250854
,8.159165079,7.098935383,10.19817622
,7.385910754,9.550877358,10.26477047
,9.510349079,9.563102934,9.79246212
,8.023552723,10.07834241,10.80398907
,10.42457096,9.425381164,10.31326312
,6.38726995,9.434712902,9.634041869
,8.246450187,9.494972845,9.243576522
,9.316330357,10.22314159,12.63506953
,11.02888228,9.264281468,12.6356347
,12.05453273,9.064705049,12.11304871
,12.1143076,7.866562533,9.097340189
,11.71256816,9.161856822,13.23678353
,11.08892184,9.878493687,12.20631803
,10.57695596,9.927526368,12.07043262
,11.42340028,9.655047377,12.55188715
,4.900320282,9.727522919,10.70438664
,9.403830778,9.984310062,9.964957611
,5.500488938,8.697326303,9.896138307
,7.492357844,9.971165436,9.820926501
,9.018820053,9.946460197,9.985708779
,11.74703733,9.733125742,10.66032419
,11.29510397,9.122380649,10.59416759
,11.12817287,8.342592313,10.75470264
,10.8531421,10.39256858,10.72963896
,9.638748396,10.40942162,11.24158238
,9.579521971,10.11533949,11.76322513
,9.879288971,10.27874031,11.47956693
,7.644902874,10.48782469,11.01018129
,7.645222585,9.233388868,12.49573406
,8.506163585,10.36823335,12.33558622
,8.286341923,10.41902183,12.58492623
,8.19091216,10.18367806,11.7488603
,9.124339116,8.759450905,11.84669799
,11.26356072,8.153360145,11.71694415
,10.88942105,10.44814192,11.46809384
,10.45290706,10.54065496,11.60230975
,10.90653463,9.334931708,11.28284561
,9.636883272,10.29009157,11.79717926
,10.6277306,10.28719808,10.14385279
,10.11785694,9.895160224,9.551739955
,9.532617072,9.973502622,10.01266668
,7.718401224,10.11361179,11.10842305
,5.972170895,10.12651519,11.21143707
,10.12584685,8.619033566,9.952981495
,6.451196256,8.114793995,10.30456376
,7.635668195,8.764296682,10.67086755
,9.024744361,8.816086543,9.515174619
,11.60758683,10.09563803,9.230482421
,11.3146455,9.055386981,9.871374534
,10.95742503,8.587815356,11.76023858
,10.80713555,9.641410391,10.99939735
,9.702495265,10.18870161,11.08043584
,9.784168062,8.583342008,10.96456004
,10.3318538,9.249410685,9.942179232
,8.38526721,5.390331325,11.18006866
,5.32356711,6.984583986,7.421429855
,7.876749242,10.37471959,7.269268415
,9.08344867,10.35831413,7.916956828
,8.578611006,9.656433168,10.43166782
,8.316735106,10.1763673,10.82465565
,8.99945122,10.0881702,9.410677298
,8.15350089,9.165235248,8.364915728
,12.18047362,9.922315762,12.23300717
,12.40556362,10.11929237,11.18242207
,11.63433066,9.932058655,11.29362042
,10.90802205,7.280559614,11.94792954
,11.11252913,7.690329387,10.2493381
,10.72413361,8.91187033,9.517300412
,11.23313724,9.191722401,9.267963345
,9.770934341,8.395062087,9.279818204
,9.208628101,8.677722836,8.020999637
,8.235704477,8.942172805,9.419783026
,9.417225165,8.638681035,8.514480969
,8.822824435,8.894036042,8.336896704
,12.08080495,9.055012152,9.026915501
,9.285156583,8.852363275,10.34229604
,9.755579953,8.026700113,9.851077401
,9.844031822,7.032937308,9.815766247
,11.0139337,9.761845468,9.502040674
,11.11577209,10.37164323,11.25546561
,10.20842411,10.02225993,11.5419505
,9.813458856,10.74321298,11.26644919
,9.818361399,10.80001943,11.58292897
,9.569128981,9.764939401,10.63272539
,10.39315636,10.65512952,10.28159146
,10.41238477,9.875616054,10.05067129
,9.193857928,9.868595856,10.25903409
,9.765123229,9.191888464,8.840282445
,9.139656024,10.10228243,9.816036555
,10.39998421,10.5918776,8.092524812
,8.609288876,10.49596284,7.967351298
,8.854852648,10.88166093,8.575760819
,8.467490438,10.33272679,10.53031802
,8.54695584,9.459509434,10.74623143
,8.793155377,10.14786264,9.656337703
,6.888618737,9.347468559,8.430497197
,9.211821841,9.331990705,12.40592841
,9.647885363,9.283735644,11.21176182
,8.044993083,9.411318496,11.49053252
,6.253815562,9.670485717,12.24193772
,9.399170854,11.01876025,10.21688468
,9.92337182,9.017512101,9.570218463
,10.01626765,8.816444643,9.449697119
,9.745441974,10.46907076,9.455720883
,10.58239047,10.58471436,8.460126412
,9.419579539,8.88816865,9.666078615
,8.933846619,9.221966705,8.975768931
,8.787135559,9.676720994,8.393130416
,8.341999371,10.57937495,9.03125141
,9.482402647,9.876059644,11.05450346
,6.078279852,10.11061501,10.42743712
,9.232404996,10.59673474,10.20772191
,9.158128997,9.773653713,9.438154453
,7.797831901,9.562201524,11.51833993
,7.1785726,10.26000216,10.80476174
,6.170296531,10.32686245,10.37765273
,10.30264316,9.585742302,12.04706838
,8.824957072,9.724715619,10.64952879
,5.089478688,10.11533913,10.72865714
,8.473634735,10.31790782,10.57942352
,8.494719415,10.66322334,10.69765324
,9.58383669,10.55696622,10.11538826
,9.245007064,10.30345785,10.10675028
,6.243249897,10.91720694,9.377173304
,8.343131195,10.60361361,8.96796368
,8.311256651,10.30725796,8.939655708
,6.103193221,11.28968008,12.04204121
,7.529077642,10.00625796,11.56912841
,8.922970388,10.28147055,11.0555295
,9.120485274,10.69595554,9.589006687
,6.861416473,9.916703039,12.41372323
,7.876046484,10.31863532,11.61564052
,4.775484658,10.30875169,10.91418291
,5.770896259,10.74783663,13.21540901
,3.517430359,10.88802718,9.293353138
,6.206419143,9.739920959,9.058562112
,7.184655546,,9.200223917
,7.999758374,,9.114846603
,7.496287694,,9.701069065
,9.509610223,,9.211842858
,9.96132286,,9.133893217
,9.658409983,,9.71504758
,11.36003203,,10.10627779
,9.800369661,,9.566476419
,10.21315581,,8.134578147
,10.07645223,,9.407897501
,9.232538975,,10.44191037
,11.11972522,,11.20208344
,,,10.49386854
,,,10.36594549
,,,10.42179964
,,,10.76155781
,,,11.13499448
,,,10.9446312
,,,11.12504901
,,,10.41813265
,,,9.954888715
,,,10.57783569
,,,10.29818965
,,,10.82158723
,,,11.28343016
,,,11.05390652
,,,10.1601362
,,,10.68120492
,,,11.46166369
,,,10.38030847
,,,10.54088262
,,,11.25508991
,,,11.7049195
,,,11.86435672
,,,11.63499422
,,,11.83377105
,,,10.89494638
,,,11.09793292
,,,10.14658808
,,,9.092932183
,,,9.558670437
,,,10.46283424
,,,10.70970906
,,,9.569777155
,,,10.20189026
,,,12.12425455
,,,11.42532325
,,,10.99867514
,,,11.80469314
,,,11.17778978
,,,10.67948
,,,10.60377375
,,,10.60328553
,,,9.868876159
,,,10.43829984
,,,9.345434445
,,,8.49012438
,,,8.949827504
,,,9.804104807
,,,10.28210919
,,,9.244285858
,,,9.467098579
,,,11.69653735
,,,10.78726178
,,,10.73700987
,,,11.53049526
,,,10.7855248
,,,10.35095479
,,,10.31095968
,,,10.5090649
,,,10.41919669
,,,10.22947655
,,,10.23590559
,,,10.079153
,,,10.286896
,,,9.597935972
,,,9.941184313
,,,9.252988537
,,,10.75195001
,,,10.39549147
,,,10.26870485
,,,10.41361996
,,,11.21522521
,,,10.71372305
,,,10.46225743
,,,10.43600796
,,,10.20518566
,,,10.89552726
,,,10.06344435
,,,11.09773606
,,,11.09443227
,,,11.40348028
,,,11.14728908
,,,10.03288714
,,,11.1081312
,,,10.91218778
,,,11.17395871
,,,10.35123174
,,,10.02280022
,,,9.567511036
,,,11.19344281
,,,11.17580015
,,,11.09686749
,,,11.15819636
,,,11.06122546
,,,10.88110849
,,,10.98104502
,,,10.46358892
,,,10.8767051
,,,9.991219289
,,,10.36963303
,,,10.14608511
,,,11.34455928
,,,11.10666989
,,,10.04868988
,,,9.879497874
,,,9.186272187
,,,12.03904686
,,,11.61563732
,,,11.38601831
,,,11.62136668
,,,11.34523683
,,,11.29382059
,,,10.95474913
,,,10.39037424
,,,10.68702243
,,,9.114251757
,,,9.964270925
,,,9.212295345
,,,11.18957068
,,,11.02582491
,,,11.31064311
,,,11.15398232
,,,11.09383051
,,,11.14824047
,,,10.58906921
,,,10.3797735
,,,10.88191476
,,,10.73765594
,,,10.81225091
,,,12.44971856
,,,12.36570644
,,,12.44828376
,,,9.41158873
,,,10.42089208
,,,10.53772881
,,,12.87972711
,,,9.833391193
,,,9.702554799
,,,9.599875604
,,,8.524079014
,,,12.25729707
,,,12.00877923
,,,12.02940634
,,,12.03856504
,,,12.47123949
,,,11.6697658
,,,12.1183964
,,,11.89638568
,,,12.02587425
,,,9.337203156
,,,10.32642513
,,,9.91231721
,,,12.54144024
,,,10.3027111
,,,10.12513955
,,,9.960065205
,,,8.691477895
,,,12.59732632
,,,12.25105988
,,,12.28135918
,,,12.3281093
,,,12.12510572
,,,11.89514206
,,,11.90950815
,,,12.06410025
,,,12.26386228
,,,11.27214218
,,,10.84520409
,,,11.71051321
,,,12.39554236
,,,10.80976415
,,,9.774576926
,,,9.553347575
,,,9.686168758
,,,11.97665524
,,,12.0987166
,,,11.85976886
,,,12.04041102
,,,12.50913728
,,,11.58712781
,,,11.85925007
,,,12.15433842
,,,12.25405495
,,,12.04095431
,,,11.63664948
,,,11.47255281
,,,11.99969847
,,,9.657138101
,,,9.351419086
,,,9.37607851
,,,11.05763307
,,,11.73815886
,,,12.0158668
,,,11.88489685
,,,11.81682642
,,,12.35361363
,,,11.35657924
,,,11.90494133
,,,11.8699653
,,,11.94638837
,,,10.98796988
,,,9.65020756
,,,10.86034761
,,,11.92706705
,,,10.4959328
,,,9.421752068
,,,9.066586241
,,,9.016555874
,,,11.39483932
,,,11.61583179
,,,11.54785644
,,,11.78002952
,,,11.99531829
,,,10.99310741
,,,12.45439417
,,,12.39821259
,,,12.47993531
,,,11.67270111
,,,10.60271444
,,,11.43954704
,,,12.47231263
,,,10.69620925
,,,9.916870595
,,,9.586201268
,,,9.919659088
,,,11.87539596
,,,11.97261976
,,,11.92569893
,,,12.16246771
,,,12.49789383
,,,11.3808469
,,,10.54241437
,,,10.10764853
,,,10.36805656
,,,6.377728856
,,,7.732192845
,,,7.728039711
,,,11.12475468
,,,11.01108214
,,,10.90958644
,,,10.86491726
,,,9.283220439
,,,11.10814204
,,,10.91852074
,,,10.87570864
,,,11.02645339
,,,10.72495207
,,,10.3149206
,,,10.53077696
,,,9.545915766
,,,9.87680669
,,,7.467374939
,,,8.429205657
,,,8.24479099
,,,10.27265826
,,,11.82106863
,,,11.03721146
,,,10.58676168
,,,8.768735692
,,,10.28152675
,,,9.974882218
,,,9.956739032
,,,10.15771075
,,,10.10677063
,,,9.347658757
,,,10.76721027
,,,10.34658993
,,,10.47153855
,,,6.577301896
,,,7.82135811
,,,8.440294256
,,,11.24894001
,,,11.05953708
,,,11.13698364
,,,10.98296202
,,,9.232298985
,,,11.28851626
,,,11.01268433
,,,11.00788386
,,,11.26825237
,,,10.83021551
,,,10.62513358
,,,12.03300167
,,,11.4275448
,,,11.62292976
,,,8.071447058
,,,8.750901475
,,,8.887113974
,,,12.16594084
,,,10.318001
,,,10.04978989
,,,9.909423486
,,,7.289807906
,,,12.2177416
,,,11.98033332
,,,12.07102493
,,,12.21352268
,,,11.92911154
,,,11.52913326
,,,8.893002443
,,,9.829133999
,,,9.760370001
,,,9.404350933
,,,9.241707768
,,,10.36389235
,,,10.15867376
,,,11.99467566
,,,10.92012564
,,,11.04840473
,,,11.28250365
,,,9.587974436
,,,9.871362616
,,,9.746479877
,,,9.852091547
,,,10.11690127
,,,9.394117719
,,,10.4113368
,,,10.65372366
,,,10.88463117
,,,11.0419563
,,,10.21296862
,,,10.08766418
,,,11.39787103
,,,7.379594073
,,,5.544307628
,,,5.347079056
,,,9.792323709
,,,10.20685808
,,,10.65473149
,,,10.62632706
,,,10.6428407
,,,11.70427307
,,,8.830997111
,,,9.829289787
,,,11.22489998
,,,11.99508882
,,,13.36837184
,,,10.43489043
,,,11.72234708
,,,10.76169206
,,,12.19399225
,,,10.78314513
,,,12.15177778
,,,12.56960043
,,,12.16981379
,,,12.67667115
,,,12.23445465
,,,11.76341494
,,,12.47150877
,,,11.46393758
,,,11.24964625
,,,11.43487222
,,,11.44208446
,,,11.28971686
,,,10.85192311
,,,11.48394816
,,,11.94663462
,,,12.0047435
,,,11.29260449
,,,9.461716492
,,,10.94501374
,,,10.74928334
,,,11.91209979
,,,9.461322945
,,,10.89893515
,,,10.49814634
,,,11.79023526
,,,10.95166181
,,,11.96416668
,,,10.02026515
,,,11.49292902
,,,11.03757718
,,,11.31697688
,,,11.26313928
,,,12.49709994
,,,9.825836211
,,,11.3556253
,,,10.88831631
,,,12.37594866
,,,12.2085757
,,,10.88444436
,,,12.30173367
,,,11.85318814
,,,11.74651349
,,,13.0501706
,,,13.71587333
,,,13.50550348
,,,13.51224506
,,,13.31359683
,,,13.1921959
,,,12.80138119
,,,13.05939954
,,,12.6181374
,,,13.09374047
,,,12.61936255
,,,13.70112249
,,,13.21604054
,,,11.78003414
,,,13.1803198
,,,11.62864833
,,,12.43306881
,,,12.03761415
,,,13.40795592
,,,12.64221253
,,,12.44996141
,,,10.70272961
,,,12.41001717
,,,11.7973839
,,,11.35014705
,,,9.075813809
,,,8.336936364
,,,8.228466272
,,,9.086124993
,,,6.626974248
,,,12.13147337
,,,11.65509322
,,,11.05814591
,,,10.63205862
,,,11.34634492
,,,11.70314907
,,,11.20914964
,,,9.863825707
,,,8.927049987
,,,8.880163932
,,,9.200908703
,,,8.562264855
,,,10.57517662
,,,9.806422694
,,,9.70495691
,,,9.002233024
,,,9.759428865
,,,10.26496979
,,,11.65790606
,,,11.82339869
,,,11.58951926
,,,10.87072547
,,,10.83738285
,,,10.73023188
,,,10.21738109
,,,9.027693
,,,9.392610369
,,,9.646537183
,,,8.555356491
,,,8.866495002
,,,11.24692725
,,,9.106825232
,,,9.008703329
,,,7.685163042
,,,8.873637724
,,,9.322616401
,,,12.07271007
,,,11.98832021
,,,11.45163074
,,,11.30133457
,,,10.65833046
,,,10.5899745
,,,10.92496789
,,,9.247849114
,,,8.713974638
,,,8.824285092
,,,9.608152424
,,,6.739747234
,,,9.958082275
,,,9.274973115
,,,8.89714214
,,,8.319926591
,,,8.561704474
,,,9.112626269
,,,10.98088527
,,,10.97920863
,,,10.10587071
,,,10.68255299
,,,9.535894928
,,,9.949881242
,,,9.916979984
,,,9.971047795
,,,9.428293331
,,,9.15012553
,,,9.21663923
,,,7.549227733
,,,9.615235488
,,,10.17587906
,,,8.788425879
,,,9.187418485
,,,8.211443091
,,,10.23232605
,,,10.94112616
,,,10.78762086
,,,9.939939703
,,,11.57365782
,,,9.409569608
,,,11.10777847
,,,9.662855286
,,,10.68995235
,,,10.21421192
,,,8.640479026
,,,10.08217177
,,,8.966732848
,,,9.796362136
,,,10.93243251
,,,10.40193345
,,,10.28068059
,,,10.93784507
,,,9.498761283
,,,11.25053257
,,,10.62361773
,,,11.29879919
,,,9.548609833
,,,11.08020164
,,,10.80549602
,,,11.46120573
,,,9.564854438
,,,10.94773222
,,,10.60279081
,,,11.11017345
,,,9.97334882
,,,11.85942143
,,,10.3531412
,,,8.494764146
,,,9.434911136
,,,9.838071031
,,,9.464395537
,,,10.12649414
,,,10.6591984
,,,10.57175393
,,,10.25181885
,,,10.99063023
,,,11.15264066
,,,10.05499312
,,,8.726439309
,,,9.947026936
,,,10.12093033
,,,10.37681897
,,,9.509535157
,,,11.72244715
,,,10.1475199
,,,8.001518749
,,,9.172505613
,,,8.249183628
,,,9.985511869
,,,11.07791738
,,,11.23938518
,,,10.45272011
,,,11.75710599
,,,9.873660068
,,,11.73908283
,,,9.961829444
,,,10.61004112
,,,10.1564118
,,,8.59022366
,,,10.15767417
,,,9.503385844
,,,10.35308017
,,,12.6490123
,,,10.51238749
,,,11.72600303
,,,11.12993778
,,,11.82340809
,,,11.39491475
,,,12.55753194
,,,12.25801998
,,,13.25509118
,,,12.30437751
,,,13.42402789
,,,11.80459197
,,,10.7695915
,,,12.50660227
,,,11.89652938
,,,12.76576742
,,,12.46959784
,,,13.35581542
,,,12.3202613
,,,10.47251536
,,,11.16228739
,,,10.79318366
,,,11.69528514
,,,10.66393397
,,,12.14615003
,,,11.84907055
,,,12.72832578
,,,12.14280557
,,,13.09352012
,,,11.45029721
,,,10.20952809
,,,12.20165741
,,,11.62940824
,,,12.40401013
,,,12.08463017
,,,13.45990683
,,,12.6720597
,,,11.92111983
,,,12.23920883
,,,12.90126262
,,,11.56051847
,,,12.7169954
,,,13.50797079
,,,13.62798085
,,,12.50181972
,,,13.44160763
,,,13.13114974
,,,13.24898334
,,,11.08846689
,,,12.49238668
,,,12.69946512
,,,13.2290872
,,,11.84871473
,,,13.50170676
,,,12.49200606
,,,13.35503292
,,,11.95113919
,,,12.58354212
,,,12.48107972
,,,13.39711908
,,,14.23982007
,,,14.23588511
,,,13.20348609
,,,13.42320912
,,,12.94146016
,,,13.77635895
,,,11.12564252
,,,12.82221182
,,,12.69646304
,,,12.91114111
,,,11.84672708
,,,13.3038319
,,,12.31356225
,,,11.90069621
,,,11.64512016
,,,12.30447118
,,,10.61334602
,,,12.14297648
,,,13.09603493
,,,13.07605487
,,,11.94569209
,,,12.97001319
,,,12.63104208
,,,13.04187176
,,,10.46983343
,,,12.47214754
,,,12.22551042
,,,12.51269552
,,,11.47921143
,,,12.91089013
,,,12.59542757
,,,12.43364227
,,,12.10518827
,,,12.74922673
,,,11.25717325
,,,12.83270583
,,,13.65272066
,,,13.6812436
,,,12.64960308
,,,13.51798166
,,,13.20552727
,,,13.72722861
,,,10.8861002
,,,13.02831213
,,,12.61111107
,,,13.0903448
,,,11.90357342
,,,13.31834337
,,,10.07015989
,,,6.181977813
,,,8.856532169
,,,7.958273545
,,,8.554968547
,,,11.58833559
,,,11.47455939
,,,10.55088302
,,,11.86198837
,,,10.83428032
,,,12.15271197
,,,10.5526106
,,,10.55732532
,,,9.939764173
,,,8.900349663
,,,10.23590425
,,,9.558039148
,,,11.69967106
,,,9.933783345
,,,7.995200541
,,,8.668482986
,,,8.829626755
,,,8.077227013
,,,12.23602477
,,,11.87399685
,,,11.49360515
,,,11.17981177
,,,11.06231772
,,,11.61403019
,,,11.78851878
,,,10.1826855
,,,9.828156527
,,,10.13774639
,,,10.19243579
,,,9.555063638
,,,11.37484387
,,,10.22644322
,,,6.361551371
,,,9.180135092
,,,8.438762486
,,,8.951947481
,,,11.49915498
,,,11.37871498
,,,10.41669286
,,,11.81280451
,,,10.75063935
,,,12.30015368
,,,10.62650814
,,,10.87097995
,,,10.28060126
,,,9.009663325
,,,10.43587737
,,,9.7652076
,,,12.00577769
,,,11.52520913
,,,9.072797787
,,,10.41834651
,,,9.279774667
,,,10.09935363
,,,10.3005046
,,,11.73804542
,,,11.11908821
,,,12.29675032
,,,11.6246153
,,,12.70424993
,,,11.35196438
,,,9.395223964
,,,11.45042263
,,,11.17145531
,,,11.48032942
,,,11.57627777
,,,12.56549523
,,,10.3593005
,,,10.9994079
,,,10.74135484
,,,11.67549751
,,,10.07803153
,,,12.3167865
,,,11.9781075
,,,11.09885262
,,,10.65861524
,,,11.8208293
,,,11.87138009
,,,11.44595657
,,,12.23769191
,,,10.36830144
,,,10.11369136
,,,10.5314391
,,,11.22255945
,,,11.33782838
,,,10.38787642
